param_name,param_value,expected_hits,p_hit_ge_1,var_hits,footprint_area,max_extent_along,max_extent_across,seed
spacing_across,250.0,9.15,1.0,0.9775,1355064.7857128966,1647.1363075126292,822.6792036168548,1945
jitter_std,20.0,9.15,1.0,0.9775,1355064.7857128966,1647.1363075126292,822.6792036168548,1945
spacing_along,400.0,9.305,1.0,1.3319750000000001,755672.6118865059,925.2948180206557,816.6830691897776,1945
spacing_across,250.0,9.305,1.0,1.3319750000000001,755672.6118865059,925.2948180206557,816.6830691897776,1945
jitter_std,40.0,9.305,1.0,1.3319750000000001,755672.6118865059,925.2948180206557,816.6830691897776,1945
spacing_along,600.0,9.555,1.0,0.42697500000000005,995968.3744546712,1295.5532530882588,768.7591166789509,1945
spacing_across,250.0,9.555,1.0,0.42697500000000005,995968.3744546712,1295.5532530882588,768.7591166789509,1945
jitter_std,20.0,9.555,1.0,0.42697500000000005,995968.3744546712,1295.5532530882588,768.7591166789509,1945
spacing_along,400.0,9.92,1.0,0.1736,656855.7233050489,842.5373713911583,779.6161281492825,1945
spacing_across,250.0,9.92,1.0,0.1736,656855.7233050489,842.5373713911583,779.6161281492825,1945
jitter_std,20.0,9.92,1.0,0.1736,656855.7233050489,842.5373713911583,779.6161281492825,1945
spacing_along,400.0,10.0,1.0,0.0,600000.0,800.0,750.0,1945
spacing_across,250.0,10.0,1.0,0.0,600000.0,800.0,750.0,1945
jitter_std,0.0,10.0,1.0,0.0,600000.0,800.0,750.0,1945
spacing_along,600.0,10.0,1.0,0.0,900000.0,1200.0,750.0,1945
spacing_across,250.0,10.0,1.0,0.0,900000.0,1200.0,750.0,1945
jitter_std,0.0,10.0,1.0,0.0,900000.0,1200.0,750.0,1945
spacing_along,800.0,10.0,1.0,0.0,1200000.0,1600.0,750.0,1945
spacing_across,250.0,10.0,1.0,0.0,1200000.0,1600.0,750.0,1945
jitter_std,0.0,10.0,1.0,0.0,1200000.0,1600.0,750.0,1945
