action_name,split,profiles,samples,expected_hits,CVaR_90,VaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss,complexity_cost,layout_type
rect_center_heavy_6_none_mixed_balanced_standard_compact,eval,10,1200,2.8458333333333337,3.423535883970993,3.9425000000000003,0.9949999999999999,5.051822916666667,3.2983333333333333,0.3733333333333334,8.424822916666667,10.756604131652661,1.25,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_standard,train,20,2400,2.7745833333333327,3.3098881327006326,3.8716666666666666,0.8975,3.4748229166666667,2.427083333333333,0.58875,6.01965625,7.5677642763986315,1.3,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_standard,eval,10,1200,2.6308333333333334,2.9149090722134083,3.9349999999999996,0.9566666666666667,4.2086041666666665,2.5258333333333334,0.3783333333333333,6.810104166666666,8.838638257575758,1.3,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_loose,train,20,2400,2.740416666666666,3.4407394883593163,3.4066666666666667,0.9662500000000002,3.308020833333333,2.305416666666667,0.6375,5.7409375,7.478676101553407,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_loose,eval,10,1200,2.7216666666666667,3.1025,3.95,0.8025,3.9506875,2.3225000000000002,0.5233333333333334,6.377854166666667,8.171125000000002,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_compact,train,20,2400,2.9133333333333336,3.4168096030512864,3.8858333333333333,0.9991666666666668,4.473260416666667,3.055833333333333,0.37000000000000005,7.603093749999999,9.384483170814386,1.3499999999999999,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_compact,eval,10,1200,2.5916666666666663,3.2189895979429637,3.905,0.8949999999999999,4.443322916666666,2.6849999999999996,0.36916666666666664,7.20215625,9.708176477321697,1.3499999999999999,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_standard,train,20,2400,2.4054166666666665,3.0742653838588816,3.470833333333334,0.8583333333333334,3.3021979166666666,2.1879166666666667,0.39125,5.5683645833333335,7.096137944801198,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_standard,eval,10,1200,2.6083333333333334,3.111096866096866,3.665,0.9891666666666665,4.2943750000000005,2.5041666666666664,0.3524999999999999,6.869041666666666,7.996827689095765,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_loose,train,20,2400,2.779166666666667,3.368786546576336,3.7983333333333333,0.9870833333333333,3.41571875,2.2475,0.7370833333333334,5.810635416666667,7.044836059083975,1.4999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_loose,eval,10,1200,2.503333333333333,2.8085416666666667,3.95,0.8033333333333333,3.9405520833333343,2.1849999999999996,0.42416666666666664,6.210385416666667,7.683502744839702,1.4999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_compact,train,20,2400,3.302916666666667,3.7163384139080735,3.9166666666666665,0.99125,5.31090625,3.651666666666666,0.3291666666666667,9.02840625,10.956607607031373,1.27,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_compact,eval,10,1200,3.2241666666666666,3.522365728900256,3.95,0.9991666666666668,5.103604166666668,3.669166666666667,0.21833333333333335,8.8164375,9.975587940818299,1.27,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_standard,train,20,2400,2.980833333333334,3.5306539286438863,3.9166666666666665,0.9583333333333334,4.144302083333334,2.643333333333333,0.6841666666666666,6.924468750000001,8.870170658598377,1.32,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_standard,eval,10,1200,2.8175,3.221117257770402,3.9425000000000003,0.9975000000000002,4.169229166666666,2.7608333333333333,0.3675,7.003562499999999,8.635067095372326,1.32,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_loose,train,20,2400,2.625833333333334,3.1808104786620923,3.9166666666666665,0.9345833333333335,3.8069687500000002,2.2820833333333335,0.6575,6.2205520833333345,8.012797908640255,1.42,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_loose,eval,10,1200,2.2108333333333334,2.723490885219411,3.6791666666666667,0.925,3.3632708333333334,2.1191666666666666,0.33666666666666667,5.5497708333333335,7.183905318666352,1.42,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_compact,train,20,2400,2.9325,3.370689073997897,3.9166666666666665,0.9466666666666669,4.908677083333334,3.1433333333333335,0.25583333333333336,8.103177083333332,9.9797556379947,1.37,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_compact,eval,10,1200,2.8400000000000007,3.4168692173043262,3.9425000000000003,0.9949999999999999,5.076239583333335,3.265833333333333,0.37583333333333335,8.417239583333334,10.714292198381326,1.37,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_standard,train,20,2400,2.839166666666667,3.3570158336287372,3.9166666666666665,0.9016666666666667,4.016833333333333,2.4833333333333334,0.6279166666666667,6.625749999999999,8.424678150063444,1.4200000000000002,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_standard,eval,10,1200,2.631666666666667,2.9148747551234977,3.9349999999999996,0.9566666666666667,4.294520833333333,2.4825,0.43166666666666664,6.863354166666665,8.845053550469483,1.4200000000000002,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_loose,train,20,2400,2.82875,3.485498821333856,3.5675000000000003,0.975,3.9482447916666663,2.3833333333333333,0.6641666666666667,6.464411458333333,8.278684307500702,1.52,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_loose,eval,10,1200,2.668333333333333,3.012244897959184,3.95,0.8,3.9575208333333336,2.335,0.4708333333333334,6.386687500000001,8.148773674242426,1.52,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_loose_compact,train,20,2400,2.9216666666666664,3.4171206635434808,3.9091666666666667,0.9995833333333334,4.927114583333333,3.0608333333333335,0.36208333333333337,8.060364583333333,9.856259701986906,1.47,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_loose_compact,eval,10,1200,2.603333333333333,3.2189895979429637,3.905,0.8949999999999999,4.6976145833333325,2.695,0.37,7.4666145833333335,9.711122905893125,1.47,make_rectangular_convoy
