action_name,split,profiles,samples,expected_hits,CVaR_90,VaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss,summary_budget,n_trials_per_seed,complexity_cost,layout_type
rect_center_heavy_6_none_mixed_balanced_compact_compact,train,20,480,3.1958333333333333,3.610416666666667,3.875,0.9541666666666668,4.747369791666667,3.6083333333333334,0.28541666666666665,8.412786458333333,9.964071241258742,screen_only,8,1.15,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_compact,eval,10,240,3.3083333333333327,3.611513157894737,4.0,1.0,5.570416666666667,3.770833333333333,0.2,9.38125,11.036939102564103,screen_only,8,1.15,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_standard,train,20,480,2.933333333333333,3.4794444444444443,3.875,0.95625,3.7037760416666665,2.6250000000000004,0.65,6.458776041666667,8.059736519607842,screen_only,8,1.2,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_standard,eval,10,240,2.9166666666666665,3.4163742690058476,4.0,1.0,4.6225000000000005,2.854166666666667,0.3916666666666667,7.555,9.299455357142858,screen_only,8,1.2,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_loose,train,20,2400,2.565833333333333,3.1408646146575756,3.9166666666666665,0.9324999999999999,3.127807291666666,2.220833333333333,0.6191666666666668,5.4724739583333335,7.242303246354567,full,40,1.2999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_compact_loose,eval,10,1200,2.3075,2.814878048780488,3.941666666666667,0.9541666666666668,3.8116458333333334,2.171666666666667,0.38499999999999995,6.0603125,7.789706932032436,full,40,1.2999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_compact,train,20,480,2.9124999999999996,3.361212121212121,3.875,0.9416666666666667,4.286145833333334,3.066666666666667,0.2791666666666667,7.408645833333333,9.02163888888889,screen_only,8,1.25,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_compact,eval,10,240,2.9125,3.414545454545455,3.9625,1.0,5.0528125,3.291666666666667,0.39166666666666666,8.422812500000001,10.662083333333333,screen_only,8,1.25,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_standard,train,20,480,2.747916666666666,3.2165445665445667,3.8375000000000004,0.8979166666666666,3.459635416666667,2.4104166666666673,0.5854166666666667,5.987135416666667,7.228418040293041,screen_only,8,1.3,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_standard,eval,10,240,2.691666666666667,2.910263157894737,3.9625,0.9583333333333334,4.202447916666666,2.529166666666667,0.4375,6.8191145833333335,8.624641414141415,screen_only,8,1.3,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_loose,train,20,480,2.697916666666667,3.3396022909838705,3.425,0.95625,3.264609375,2.2645833333333334,0.6270833333333334,5.654609375,7.2612100885225885,screen_only,8,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_standard_loose,eval,10,240,2.7541666666666664,3.104166666666667,4.0,0.8041666666666668,4.041093750000001,2.3666666666666663,0.5083333333333334,6.509427083333334,7.739379464285714,screen_only,8,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_compact,train,20,480,2.9,3.412873931623932,3.875,1.0,4.388229166666667,3.0,0.3875,7.465729166666667,9.253912581983235,screen_only,8,1.3499999999999999,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_compact,eval,10,240,2.604166666666667,3.2233333333333336,3.9625,0.8875,4.449375000000001,2.675,0.3625,7.196875,9.484166666666667,screen_only,8,1.3499999999999999,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_standard,train,20,2400,2.4054166666666665,3.0742653838588816,3.470833333333334,0.8583333333333334,3.3021979166666666,2.1879166666666667,0.39125,5.5683645833333335,7.096137944801198,full,40,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_standard,eval,10,1200,2.6083333333333334,3.111096866096866,3.665,0.9891666666666665,4.2943750000000005,2.5041666666666664,0.3524999999999999,6.869041666666666,7.996827689095765,full,40,1.4,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_loose,train,20,480,2.7500000000000004,3.362361111111111,3.7583333333333333,0.98125,3.4257291666666667,2.2479166666666663,0.7083333333333333,5.815312499999999,6.819512626262626,screen_only,8,1.4999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_mixed_balanced_loose_loose,eval,10,240,2.5166666666666666,2.8094298245614033,4.0,0.8041666666666668,3.9423958333333333,2.183333333333333,0.4291666666666666,6.211562500000001,7.47109375,screen_only,8,1.4999999999999998,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_compact,train,20,480,3.2770833333333336,3.6645833333333337,3.875,0.9895833333333334,5.373151041666667,3.6833333333333327,0.30416666666666664,9.117317708333335,10.632857425469266,screen_only,8,1.27,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_compact,eval,10,240,3.2791666666666663,3.605263157894737,4.0,1.0,5.132083333333332,3.6875,0.22916666666666666,8.865416666666667,9.906789596273294,screen_only,8,1.27,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_standard,train,20,480,2.9437499999999996,3.524607843137255,3.875,0.95625,4.1617968749999985,2.625,0.6520833333333333,6.9172135416666665,8.692424019607843,screen_only,8,1.32,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_standard,eval,10,240,2.85,3.2158187134502922,4.0,1.0,4.214583333333334,2.804166666666667,0.3791666666666667,7.094583333333334,8.490889423076924,screen_only,8,1.32,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_loose,train,20,480,2.572916666666667,3.068937908496732,3.875,0.9395833333333334,3.7538020833333334,2.25,0.6333333333333333,6.13046875,7.700814305985553,screen_only,8,1.42,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_compact_loose,eval,10,240,2.2583333333333333,2.6365151515151513,3.8125,0.9416666666666668,3.496875,2.1875,0.3291666666666667,5.750208333333334,7.259705409356725,screen_only,8,1.42,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_compact,train,20,480,2.9229166666666666,3.3628787878787882,3.875,0.95,4.887630208333333,3.1083333333333334,0.26875,8.049713541666666,9.735805555555554,screen_only,8,1.37,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_compact,eval,10,240,2.9083333333333337,3.339545454545455,3.9625,1.0,5.131145833333333,3.2875,0.3958333333333333,8.4978125,10.654583333333335,screen_only,8,1.37,make_rectangular_convoy
rect_center_heavy_6_none_high_value_center_standard_standard,train,20,480,2.8145833333333328,3.2608187134502926,3.875,0.9,3.9991406250000003,2.4604166666666667,0.6270833333333334,6.584973958333333,8.186666666666667,screen_only,8,1.4200000000000002,make_rectangular_convoy
