atk_base_bearing_rad,atk_launch_delay_mean,atk_mode,atk_n,atk_spread_rad,atk_torpedo_max_run_time,atk_torpedo_origin,atk_torpedo_speed,def_jitter_std,def_spacing_across,def_spacing_along,noise_p_dud,noise_sigma_heading_rad,noise_sigma_launch_delay,expected_hits,p_hit_ge_1,CVaR_90
-0.12425459161738606,0.9137447120931887,fan,4,0.3727487542117667,705.4761074952957,(-2000.0, 0.0),23.606764358167176,10.159737499162462,269.4229724296392,415.6096669630791,0.19579188712370404,0.007540236430431957,0.10302174089860117,5.7,1.0,8.0
-0.05302474983640102,1.4406195781698767,fan,6,0.38108081618179396,753.1684045027697,(-2000.0, 0.0),25.43137769500058,25.359511518855577,404.7322127766734,730.5480772643848,0.07142272576875804,0.02811580107242074,0.12050623079500511,6.02,1.0,9.666666666666666
0.01585496349380322,0.8673586551607864,fan,4,0.23465494567454073,647.637721363477,(-2000.0, 0.0),26.607868345067438,24.358167887309126,346.0998818377463,517.4632800970327,0.12233218033813738,0.03811412353449188,1.973258300090827,4.94,1.0,8.4
0.07143599297137655,0.4282255226219984,fan,4,0.3036026309521631,827.4202525174298,(-2000.0, 0.0),26.752723720690994,26.915681969259072,280.23380944289585,480.6363596441213,0.07187248050090071,0.029888096506288205,0.0734341848885458,5.16,1.0,8.333333333333334
-0.0875880684457791,1.5161701671965706,fan,4,0.2817132218084097,612.0809708792356,(-2000.0, 0.0),24.234135668226507,29.528520734776066,348.18081139726564,685.5153466342545,0.05447095323622497,0.019397597401562185,0.15946991791046283,4.88,1.0,7.25
-0.04722592739317975,0.7488546313088078,fan,2,0.3357203926056475,674.0712179499114,(-2000.0, 0.0),24.47239200006185,18.729238589047256,265.9047104714401,685.4102380834115,0.0202771087764948,0.029562090764320273,1.7490749409585993,2.46,1.0,3.1538461538461537
0.13924889500263632,1.8873512283466014,fan,4,0.21917263218639915,762.4357746560609,(-2000.0, 0.0),27.777353509137093,3.8121669763079558,422.02549738095416,515.6539045010323,0.13519181916230502,0.018125276364134357,0.8766152411268937,3.6,0.98,6.0
0.030844405898295735,1.6327495495181363,fan,4,0.30451360722777765,833.7843970497087,(-2000.0, 0.0),20.811440197207386,29.583824744015818,417.5532069481356,626.5919143262865,0.10848963232862166,0.03409714951004276,0.4666958260462075,4.1,1.0,6.4
0.0014589110623619119,0.2562433012144234,fan,6,0.1776915989508087,688.1141576363048,(-2000.0, 0.0),21.807314685381424,8.964827981203026,370.96659794888495,718.2371487826017,0.17885996212280472,0.0040422059068080446,0.9439938246811568,6.5,1.0,8.045454545454545
-0.07209822875980824,1.7015845456871264,fan,6,0.2824047023953584,653.7270596946238,(-2000.0, 0.0),28.85675068246698,13.339316983681716,290.66392030025867,415.092933548222,0.12093510954647449,0.014012187071046579,1.2401709885879681,8.18,1.0,11.375
