profile_id,name,belief_score,u_pos_x,u_pos_y,estimated_range_m,estimated_bearing_rad,estimated_convoy_heading_rad,estimated_convoy_speed_mps,estimated_contact_count,estimated_formation_width_m,estimated_formation_depth_m,estimated_contact_density_per_km2,estimated_aspect_rad,projected_target_span_m,bearing_alignment_error_rad,range_score,bearing_alignment_score,aspect_score,formation_span_score,contact_density_score,spread_score,contact_score,inside_score,uncertainty_score,spawn_region,approach_side,inside_convoy_envelope,spread_rad,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,candidate_source_label,selector_method,belief_rank,full_state_rank,attacker_score,expected_loss,expected_hits,expected_unique_ships_hit,value_lost,in_full_state_top_k,in_belief_top_k
VAE000002,vae_candidate_000002,0.9471570964694966,-1002.3169555664062,-1006.7489013671875,1471.2189637525476,0.788905035478639,-0.008511346548958899,5.182143348341745,42,8347.802298093762,2362.711514910324,2.1294450489960766,2.344176271562196,7522.068948429407,0.1329879127464035,0.8495326965899264,0.9955850663210666,0.7155536747223392,1.0,0.26618063112450957,0.9999746707016017,1.0,1.0,0.08677475105734299,inside_convoy_envelope,inside,True,0.08682726323604584,1.1583058834075928,1.525468349456787,1.696027159690857,vae_candidate_pool_v1,belief_limited_heuristic_v1,11,86,2.4000000000000004,2.4000000000000004,3.0,1.0,1.0,False,True
VAE000075,vae_candidate_000075,0.9448621412090039,-683.4225463867188,3646.8251953125,3682.164186600501,-1.3566453601069564,0.02112730039308688,5.347064772250281,42,8241.357144046555,2169.64544511787,2.348885172983251,-1.7638199930897498,3710.2694365550997,0.3736814909256456,0.7328863399720834,0.965494873298888,0.9814287007003332,1.0,0.29361064662290637,0.8380913437456695,1.0,1.0,0.07435257302081368,inside_convoy_envelope,inside,True,0.05059085041284561,0.9842685461044312,1.9848060607910156,1.9478120803833008,vae_candidate_pool_v1,belief_limited_heuristic_v1,12,43,4.243333333333333,4.243333333333333,2.966666666666667,2.0,2.0499999999999994,False,True
VAE000072,vae_candidate_000072,0.9232561809484726,-1515.099365234375,3188.36865234375,3448.2315702930664,-1.1355385413526287,0.022492779194621077,5.194393742960255,42,8386.48391084038,2684.456092711444,1.865576520684831,-1.9835613330425432,5823.187211937559,0.26319222299723377,0.8124420695432206,0.9827821985933283,0.9160151611276064,1.0,0.23319706508560387,0.990594503215007,1.0,0.0,0.06729550242751874,astern_vae,astern,False,0.09574973583221436,2.129211187362671,2.403029441833496,1.7425429821014404,vae_candidate_pool_v1,belief_limited_heuristic_v1,13,42,4.25,4.25,3.0,2.0,2.0499999999999994,False,True
VAE000042,vae_candidate_000042,0.9193507278940714,1772.729736328125,-1547.126953125,2204.5283749651085,2.4195117493917517,0.04741898114347459,5.334321623309186,42,8275.642007440303,2362.570978274161,2.1481407324496713,0.7694998853415156,7587.872549632111,0.5456333884877258,0.9928031196004896,0.9273993796108684,0.6957761139361522,1.0,0.2685175915562089,0.9859347424321498,1.0,0.0,0.07676419664699032,ahead_vae,ahead,False,0.07688024640083313,1.9885461330413818,2.561375617980957,1.05259370803833,vae_candidate_pool_v1,belief_limited_heuristic_v1,14,93,2.2400000000000007,2.2400000000000007,2.2,1.0,1.0,False,True
VAE000070,vae_candidate_000070,0.9182104580616947,1997.186767578125,1788.1300048828125,2666.504461392881,-2.3908582415539223,0.024681205282411422,5.152467359339933,42,8161.941029962165,2211.8853784135863,2.326447304749084,-0.7260532067534593,7572.026762801155,0.42799523986276733,0.9866635238146814,0.9548998242436882,0.6639233993741582,1.0,0.2908059130936355,0.9762792612083905,1.0,0.0,0.07644304529322876,ahead_vae,ahead,False,0.07374534010887146,2.1728405952453613,1.4948618412017822,1.1657103300094604,vae_candidate_pool_v1,belief_limited_heuristic_v1,15,90,2.286666666666667,2.286666666666667,2.433333333333333,1.0,1.0,False,True
VAE000083,vae_candidate_000083,0.9120229420984762,-2043.5712890625,1646.51123046875,2709.1962015563627,-0.6483881996073518,-0.011493350333749456,5.485716149315987,42,8248.069561708968,2407.7595427793917,2.1148709054576864,-2.5046978043161907,8062.904024337571,0.020052718483170143,0.9820900573465106,0.9998994754889317,0.5947019380743045,1.0,0.2643588631822108,0.9623722174173617,1.0,0.0,0.07316330995611714,astern_vae,astern,False,0.10435687750577927,0.6453913450241089,2.9410862922668457,1.8374005556106567,vae_candidate_pool_v1,belief_limited_heuristic_v1,16,63,3.4949999999999997,3.4949999999999997,2.0,1.7,1.7349999999999994,False,True
VAE000019,vae_candidate_000019,0.9063593910410548,2049.6728515625,2405.975830078125,3160.3156625538722,-2.2890259178468857,-0.035755524026644656,5.00245627608871,42,8277.766037016398,2614.418070068004,1.9407120681655858,-0.888322259769552,7249.736847172921,0.37925430800374316,0.8964812819671432,0.9644704848905747,0.776014664488423,1.0,0.24258900852069823,0.8929594289484135,1.0,0.0,0.06887293993528389,ahead_vae,ahead,False,0.05790364742279053,2.2370660305023193,2.4891836643218994,1.3960999250411987,vae_candidate_pool_v1,belief_limited_heuristic_v1,17,56,3.82,3.82,2.0,1.9,1.9,False,True
VAE000079,vae_candidate_000079,0.9043560518009494,1687.8837890625,2897.41357421875,3382.3078529227837,-2.1204517794220408,0.012389473108907293,4.723403155240613,42,8227.282175790106,1967.2435451688607,2.594984502801834,-1.008751401058845,6049.080737505049,0.3041795860939871,0.8332628129283187,0.9770464981148823,0.846167103951968,1.0,0.32437306285022927,0.8654864228052994,1.0,0.0,0.07923421879801198,ahead_vae,ahead,False,0.05409790575504303,1.9640393257141113,1.866518259048462,1.5195598602294922,vae_candidate_pool_v1,belief_limited_heuristic_v1,18,38,4.326666666666666,4.326666666666666,3.1333333333333333,2.0,2.1000000000000005,False,True
VAE000032,vae_candidate_000032,0.9034707501872203,1964.702392578125,3025.489501953125,3537.079440908543,-2.124792265305652,0.0017794492736521782,4.813045685208038,42,8021.564965016154,2472.7782760019263,2.1174102378729627,-1.015020939010489,6332.7992476811905,0.2148285415750146,0.7831633974843123,0.9885064800300712,0.8494915994215203,1.0,0.26467627973412033,0.9873290219855494,1.0,0.0,0.06979950090104081,ahead_vae,ahead,False,0.0774119421839714,2.0381019115448,2.4726336002349854,1.8470673561096191,vae_candidate_pool_v1,belief_limited_heuristic_v1,19,62,3.4966666666666657,3.4966666666666657,2.466666666666667,1.6,1.7233333333333336,False,True
VAE000026,vae_candidate_000026,0.8819159342713483,2214.465576171875,-1654.7791748046875,2817.968129433999,2.49356851573094,-0.05673687909941675,5.096465640187928,42,8315.547619446128,2429.7853736005236,2.078693806384244,0.5912872587594359,8258.20136919962,0.5469158261352087,0.9675152662921749,0.927066261568297,0.5574301973303113,1.0,0.2598367257980305,0.9627472683955007,1.0,0.0,0.07238542402594883,ahead_vae,ahead,False,0.0702630802989006,2.154909610748291,2.0416712760925293,1.2715685367584229,vae_candidate_pool_v1,belief_limited_heuristic_v1,20,13,5.698333333333332,5.698333333333332,2.8333333333333335,2.8,2.8916666666666657,True,True
