model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P22,24,2.2916666666666665,3.0,1.0,13.393749999999995,5.958333333333333,0.0,19.35208333333333,19.499999999999996
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P24,24,3.4166666666666665,4.0,1.0,6.618749999999999,3.125,0.4583333333333333,9.835416666666665,12.624999999999998
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P25,24,2.0833333333333335,3.0,1.0,4.637499999999999,2.2083333333333335,0.20833333333333334,6.887499999999998,9.299999999999999
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P27,24,3.5,4.0,1.0,6.793229166666667,5.708333333333333,0.0,12.501562499999999,15.534375
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P28,24,1.9583333333333333,2.0,1.0,11.607291666666663,5.75,0.0,17.357291666666665,21.88571428571428
rect_uniform_6x7_none_mixed_balanced_compact_standard_train,P30,24,2.2916666666666665,4.0,0.9583333333333334,2.6166666666666667,2.5416666666666665,0.0,5.158333333333334,8.025
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P03,24,3.5,4.0,1.0,2.0500000000000003,2.0,1.5,4.3500000000000005,4.833333333333335
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P08,24,2.8333333333333335,4.0,1.0,3.5875,2.5416666666666665,0.2916666666666667,6.1875,7.3999999999999995
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P10,24,3.2916666666666665,4.0,1.0,2.3125,2.1666666666666665,1.125,4.704166666666667,6.424999999999999
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P12,24,3.2083333333333335,4.0,1.0,3.9875000000000003,2.75,0.4583333333333333,6.829166666666666,7.45
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P13,24,2.0416666666666665,2.0869565217391304,1.0,4.1125,1.9583333333333333,0.125,6.095833333333332,6.217391304347825
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P14,24,4.0,4.0,1.0,5.336979166666666,4.625,0.0,9.961979166666667,10.487500000000002
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P20,24,4.0,4.0,1.0,3.2374999999999994,2.0416666666666665,1.9583333333333333,5.670833333333333,5.802173913043478
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P23,24,2.25,3.0,1.0,4.074999999999999,2.0,0.3333333333333333,6.141666666666666,8.7
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P26,24,2.3333333333333335,3.0,1.0,3.304166666666666,2.2916666666666665,0.041666666666666664,5.604166666666667,7.1499999999999995
rect_uniform_6x7_none_mixed_balanced_compact_standard_eval,P29,24,2.0,2.0434782608695654,1.0,7.335416666666667,3.2916666666666665,0.0,10.627083333333333,14.85
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P01,24,2.25,3.2222222222222223,0.9583333333333334,2.1916666666666664,1.9166666666666667,0.5,4.208333333333333,7.199999999999999
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P02,24,3.1666666666666665,4.0,1.0,2.9999999999999996,2.0,1.1666666666666667,5.233333333333333,5.4
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P04,24,1.9583333333333333,3.0,1.0,2.275,1.0833333333333333,0.875,3.5333333333333328,4.58
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P05,24,2.5416666666666665,3.0,1.0,3.5833333333333326,2.5833333333333335,0.125,6.191666666666667,7.0
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P06,24,1.875,3.0,1.0,2.6249999999999996,1.25,0.625,3.9999999999999996,6.199999999999999
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P07,24,3.3333333333333335,4.0,1.0,1.9750000000000003,1.4166666666666667,1.9166666666666667,3.775,5.6
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P09,24,3.25,4.0,1.0,3.375,2.25,1.0,5.825,7.4
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P11,24,1.9166666666666667,3.0,1.0,3.5875,1.7083333333333333,0.25,5.345833333333334,6.3999999999999995
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P15,24,2.9583333333333335,4.0,1.0,3.1062499999999997,1.9583333333333333,1.0,5.264583333333333,5.55
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P16,24,1.125,2.1666666666666665,0.8333333333333334,1.7499999999999998,0.8333333333333334,0.2916666666666667,2.641666666666667,3.3333333333333335
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P17,24,3.875,4.0,1.0,6.342187499999999,5.666666666666667,0.041666666666666664,12.0171875,14.424999999999999
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P18,24,3.875,4.0,1.0,3.15,2.0,1.875,5.5249999999999995,5.549999999999999
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P19,24,3.8333333333333335,4.0,1.0,5.312499999999999,4.291666666666667,0.041666666666666664,9.612499999999999,11.31111111111111
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P21,24,1.4166666666666667,2.0,1.0,0.9,1.0,0.4166666666666667,1.9833333333333332,2.1000000000000005
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P22,24,2.2916666666666665,3.0,1.0,13.393749999999995,5.958333333333333,0.0,19.35208333333333,19.499999999999996
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P24,24,3.4166666666666665,4.0,1.0,6.618749999999999,3.125,0.4583333333333333,9.835416666666665,12.624999999999998
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P25,24,2.0833333333333335,3.0,1.0,4.637499999999999,2.2083333333333335,0.20833333333333334,6.887499999999998,9.299999999999999
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P27,24,2.875,3.0,1.0,5.664583333333333,4.666666666666667,0.0,10.331249999999999,12.718749999999998
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P28,24,1.7083333333333333,2.0,0.9583333333333334,11.023958333333333,5.333333333333333,0.0,16.357291666666665,21.400000000000002
